leg,pc,rho_in,sw_eq,pc_meas,blocks,capped,step_end
imb,0.018229999999999993,1.05469,0.3204154670238495,0.01834626992543542,2,0,2274000
imb,0.017849999999999994,1.05355,0.3205709457397461,0.017966310183207213,2,0,2278000
imb,0.017469999999999996,1.05241,0.3207539916038513,0.01758631070454919,2,0,2282000
imb,0.017089999999999998,1.05127,0.3209630846977234,0.017206350962320982,2,0,2286000
imb,0.01671,1.05013,0.3211972117424011,0.016826331615447998,2,0,2290000
imb,0.01633,1.04899,0.32145312428474426,0.01644633213678992,2,0,2294000
imb,0.015950000000000002,1.04785,0.32174861431121826,0.01606645186742145,3,0,2300000
imb,0.015570000000000002,1.04671,0.3220779299736023,0.01568647225697839,3,0,2306000
imb,0.015190000000000002,1.04557,0.3224654793739319,0.015306472778320312,3,0,2312000
imb,0.014810000000000002,1.04443,0.32277289032936096,0.014926552772521973,2,0,2316000
imb,0.014430000000000002,1.04329,0.3231789469718933,0.01454659303029382,3,0,2322000
imb,0.014050000000000002,1.04215,0.3235677182674408,0.014166633288065611,3,0,2328000
imb,0.013670000000000002,1.04101,0.323956698179245,0.01378675301869714,3,0,2334000
imb,0.013290000000000001,1.03987,0.3243767321109772,0.013406753540039062,3,0,2340000
imb,0.012910000000000001,1.03873,0.3248133361339569,0.013026833534240723,3,0,2346000
imb,0.012530000000000001,1.03759,0.32537126541137695,0.01264687379201257,4,0,2354000
imb,0.012150000000000001,1.03645,0.3258957862854004,0.012266914049784361,3,0,2360000
imb,0.011770000000000001,1.03531,0.32660529017448425,0.011886974175771059,4,0,2368000
imb,0.01139,1.03417,0.32715895771980286,0.011507014433542906,3,0,2374000
imb,0.01101,1.0330300000000001,0.3278510868549347,0.011127014954884829,4,0,2382000
imb,0.01063,1.03189,0.32851728796958923,0.010747035344441769,4,0,2390000
imb,0.01025,1.03075,0.3292071521282196,0.010367055733998598,4,0,2398000
imb,0.00987,1.02961,0.3300768733024597,0.009987235069274902,5,1,2408000
imb,0.00949,1.02847,0.33119258284568787,0.00960727532704675,5,1,2418000
imb,0.00911,1.02733,0.33237379789352417,0.009227295716603579,5,1,2428000
imb,0.00873,1.02619,0.33367112278938293,0.008847415447235107,5,1,2438000
imb,0.00835,1.02505,0.3354584872722626,0.008467276891072628,5,1,2448000
imb,0.00797,1.02391,0.33711397647857666,0.008087416489919008,5,1,2458000
imb,0.0075899999999999995,1.02277,0.33871492743492126,0.007707536220550537,5,1,2468000
imb,0.007209999999999999,1.02163,0.34940436482429504,0.007327417532602909,40,1,2548000
imb,0.006829999999999999,1.02049,0.360355019569397,0.0069473981857299805,40,1,2628000
imb,0.006449999999999999,1.01935,0.3710192143917084,0.006567398707071903,40,1,2708000
imb,0.006069999999999999,1.01821,0.3793100118637085,0.006187657515207889,24,0,2756000
imb,0.005689999999999999,1.01707,0.3862462639808655,0.005807816982269287,40,1,2836000
imb,0.005309999999999999,1.01593,0.397928386926651,0.0054276188214620325,40,1,2916000
imb,0.004929999999999999,1.01479,0.40893182158470154,0.005047778288523375,40,1,2996000
imb,0.0045499999999999985,1.01365,0.4206801652908325,0.00466797749201453,40,1,3076000
imb,0.004169999999999998,1.01251,0.43946024775505066,0.004288136959075928,40,1,3156000
imb,0.0037899999999999982,1.01137,0.453494131565094,0.0039083758989970074,40,1,3236000
imb,0.003409999999999998,1.01023,0.4743240475654602,0.00352837642033893,40,1,3316000
