dataset,domain,name,porosity,r_c,r_star_sw015,d_star_sw015,S_nw_max,seconds,error
bentheimer,128,bent128_0000,0.1997,4.571,3.553,7.105,0.8545,9.4,
bentheimer,128,bent128_0001,0.2427,4.119,3.591,7.182,0.9048,7.8,
bentheimer,128,bent128_0002,0.1722,3.732,3.211,6.422,0.9356,8.1,
bentheimer,128,bent128_0003,0.2477,6.078,4.182,8.365,0.8986,8.6,
bentheimer,128,bent128_0004,0.2083,4.993,3.207,6.415,0.8845,9.4,
bentheimer,128,bent128_0005,0.2369,6.997,3.293,6.587,0.8611,9.4,
bentheimer,128,bent128_0006,0.2837,4.999,4.063,8.126,0.9432,8.5,
bentheimer,128,bent128_0007,0.2423,5.096,3.493,6.985,0.911,8.9,
bentheimer,128,bent128_0008,0.3818,5.987,5.468,10.936,0.8581,8.4,
bentheimer,128,bent128_0009,0.2093,5.649,3.477,6.953,0.8591,8.4,
bentheimer,128,bent128_0010,0.2608,6.314,4.095,8.19,0.8643,7.9,
bentheimer,128,bent128_0011,0.1835,4.243,4.001,8.001,0.8516,7.5,
bentheimer,128,bent128_0012,0.17,4.347,3.146,6.291,0.8759,8.7,
bentheimer,128,bent128_0013,0.2348,4.234,3.269,6.539,0.8511,9.4,
bentheimer,128,bent128_0014,0.2629,5.985,4.173,8.346,0.8978,9.3,
bentheimer,128,bent128_0015,0.3172,2.991,5.105,10.211,0.8738,8.2,
bentheimer,128,bent128_0016,0.2618,7.988,3.505,7.011,0.8527,11.1,
bentheimer,128,bent128_0017,0.2186,5.477,3.623,7.245,0.8598,8.2,
bentheimer,128,bent128_0018,0.2566,5.741,4.072,8.143,0.8799,9.0,
bentheimer,128,bent128_0019,0.2463,4.676,4.042,8.083,0.8896,9.1,
bentheimer,128,bent128_0020,0.2434,9.889,4.177,8.354,0.8768,8.4,
bentheimer,128,bent128_0021,0.2912,4.688,4.527,9.054,0.8927,8.2,
bentheimer,128,bent128_0022,0.2183,6.695,4.052,8.104,0.8969,8.6,
bentheimer,128,bent128_0023,0.1885,4.113,3.259,6.518,0.8509,8.0,
bentheimer,128,bent128_0024,0.2411,6.48,4.004,8.009,0.8557,9.4,
bentheimer,128,bent128_0025,0.3004,8.303,5.099,10.199,0.8673,7.5,
bentheimer,128,bent128_0026,0.1757,4.99,,,0.7534,11.5,
bentheimer,128,bent128_0027,0.1971,4.113,4.008,8.016,0.8708,7.0,
bentheimer,128,bent128_0028,0.2343,5.378,4.117,8.233,0.9077,7.9,
bentheimer,128,bent128_0029,0.21,4.111,4.007,8.013,0.8703,7.2,
bentheimer,128,bent128_0030,0.2425,5.828,4.129,8.258,0.8993,7.3,
bentheimer,128,bent128_0031,0.2198,4.241,4.01,8.02,0.8772,7.3,
bentheimer,128,bent128_0032,0.2539,5.992,4.187,8.373,0.9031,8.2,
bentheimer,128,bent128_0033,0.2089,7.538,3.126,6.251,0.9776,8.8,
bentheimer,128,bent128_0034,0.226,4.236,3.606,7.212,0.8621,8.3,
bentheimer,128,bent128_0035,0.1688,5.644,3.618,7.235,0.884,8.3,
bentheimer,128,bent128_0036,0.2895,9.2,4.756,9.513,0.8528,8.0,
bentheimer,128,bent128_0037,0.2321,5.474,4.287,8.574,0.8518,8.2,
bentheimer,128,bent128_0038,0.4056,6.077,5.72,11.44,0.8595,9.1,
bentheimer,128,bent128_0039,0.1998,3.593,3.527,7.054,0.8994,8.4,
bentheimer,128,bent128_0040,0.2899,8.986,4.098,8.195,0.91,12.2,
bentheimer,128,bent128_0041,0.2133,6.394,4.037,8.073,0.8603,9.7,
bentheimer,128,bent128_0042,0.2523,5.091,4.122,8.243,0.9246,11.3,
bentheimer,128,bent128_0043,0.2714,9.045,4.319,8.637,0.8614,10.7,
bentheimer,128,bent128_0044,0.2681,4.578,4.013,8.027,0.8537,10.4,
bentheimer,128,bent128_0045,0.2417,5.383,4.15,8.3,0.8966,10.1,
bentheimer,128,bent128_0046,0.2496,6.779,4.055,8.11,0.8609,11.9,
bentheimer,128,bent128_0047,0.2474,7.203,4.033,8.066,0.8757,11.1,
bentheimer,128,bent128_0048,0.2195,4.995,3.396,6.792,0.9071,12.6,
bentheimer,128,bent128_0049,0.2566,5.985,4.146,8.292,0.9112,11.8,
bentheimer,128,bent128_0050,0.2617,6.927,4.067,8.135,0.9018,11.3,
bentheimer,128,bent128_0051,0.1968,4.463,4.093,8.187,0.8886,10.1,
bentheimer,128,bent128_0052,0.261,6.541,4.577,9.153,0.8564,9.7,
bentheimer,128,bent128_0053,0.2323,4.578,3.594,7.188,0.9256,11.8,
bentheimer,128,bent128_0054,0.2231,3.605,3.514,7.027,0.8731,10.9,
bentheimer,128,bent128_0055,0.2122,5.094,,,0.802,14.4,
bentheimer,128,bent128_0056,0.202,4.995,3.54,7.08,0.9143,11.3,
bentheimer,128,bent128_0057,0.2428,5.645,4.031,8.063,0.8643,10.3,
bentheimer,128,bent128_0058,0.2867,4.89,4.414,8.829,0.8635,9.8,
bentheimer,128,bent128_0059,0.2332,4.898,3.669,7.337,0.8754,10.8,
bentheimer,128,bent128_0060,0.1863,3.728,2.169,4.338,0.9923,12.6,
bentheimer,128,bent128_0061,0.1906,4.985,4.131,8.262,0.8808,10.6,
bentheimer,128,bent128_0062,0.2358,4.689,4.019,8.038,0.861,11.4,
bentheimer,128,bent128_0063,0.24,9.692,5.145,10.289,0.8758,14.3,
bentheimer,256,bent256_0000,0.2388,5.38,4.196,8.392,0.9243,184.4,
bentheimer,256,bent256_0001,0.2363,7.063,4.147,8.294,0.889,151.8,
bentheimer,256,bent256_0002,0.2446,5.0,4.201,8.402,0.9019,146.4,
bentheimer,256,bent256_0003,0.2555,6.403,4.231,8.462,0.9182,169.0,
bentheimer,256,bent256_0004,0.2242,5.477,4.157,8.314,0.9017,145.4,
bentheimer,256,bent256_0005,0.278,5.989,4.176,8.351,0.9212,158.4,
bentheimer,256,bent256_0006,0.2466,6.076,4.177,8.353,0.9129,141.0,
bentheimer,256,bent256_0007,0.2463,5.095,4.163,8.326,0.9204,165.8,
bentheimer,256,bent256_0008,0.2857,6.39,4.526,9.053,0.854,166.0,
bentheimer,256,bent256_0009,0.2378,5.905,4.195,8.39,0.9034,139.6,
bentheimer,256,bent256_0010,0.2514,6.397,4.395,8.789,0.8582,137.4,
bentheimer,256,bent256_0011,0.2457,4.989,4.54,9.08,0.8535,131.5,
bentheimer,256,bent256_0012,0.2225,5.188,4.061,8.122,0.8751,145.3,
bentheimer,256,bent256_0013,0.2297,5.823,4.063,8.127,0.871,145.7,
bentheimer,256,bent256_0014,0.2388,5.991,4.231,8.462,0.9101,150.4,
bentheimer,256,bent256_0015,0.249,5.744,4.179,8.359,0.9173,147.5,
bentheimer,256,bent256_0016,0.2655,6.399,4.272,8.544,0.8519,174.1,
bentheimer,256,bent256_0017,0.2366,5.465,4.185,8.369,0.8939,177.0,
bentheimer,256,bent256_0018,0.2527,5.989,4.148,8.297,0.8874,175.4,
bentheimer,256,bent256_0019,0.2446,6.315,4.135,8.271,0.8943,193.7,
bentheimer,256,bent256_0020,0.2025,5.099,4.002,8.004,0.8509,143.7,
bentheimer,256,bent256_0021,0.2488,5.469,4.404,8.808,0.859,146.6,
bentheimer,256,bent256_0022,0.2371,6.707,4.094,8.188,0.8802,144.1,
bentheimer,256,bent256_0023,0.2277,4.99,4.111,8.221,0.8803,107.8,
bentheimer,256,bent256_0024,0.2355,5.095,4.137,8.274,0.9021,164.9,
bentheimer,256,bent256_0025,0.2385,5.991,4.305,8.61,0.856,144.7,
bentheimer,256,bent256_0026,0.2122,5.733,4.073,8.146,0.884,143.5,
bentheimer,256,bent256_0027,0.2204,6.078,4.155,8.31,0.9033,148.9,
bentheimer,256,bent256_0028,0.2276,5.82,4.117,8.234,0.8952,164.5,
bentheimer,256,bent256_0029,0.257,6.316,4.175,8.351,0.9115,139.9,
bentheimer,256,bent256_0030,0.2324,5.471,4.132,8.265,0.9023,146.9,
bentheimer,256,bent256_0031,0.2565,5.38,4.196,8.393,0.9054,146.8,
bentheimer,256,bent256_0032,0.2381,5.188,4.064,8.127,0.8928,155.5,
bentheimer,256,bent256_0033,0.2471,6.148,4.106,8.211,0.8782,186.2,
bentheimer,256,bent256_0034,0.2337,5.379,4.145,8.29,0.8966,141.0,
bentheimer,256,bent256_0035,0.2309,5.657,4.216,8.432,0.9173,156.5,
bentheimer,256,bent256_0036,0.2371,6.992,4.179,8.357,0.8956,163.9,
bentheimer,256,bent256_0037,0.2421,5.653,4.281,8.563,0.8528,180.3,
bentheimer,256,bent256_0038,0.2809,6.398,4.259,8.518,0.8505,152.4,
bentheimer,256,bent256_0039,0.2282,4.882,4.051,8.101,0.8737,120.4,
bentheimer,256,bent256_0040,0.2449,6.921,4.116,8.231,0.9013,157.3,
bentheimer,256,bent256_0041,0.2763,5.74,4.618,9.235,0.8569,135.8,
bentheimer,256,bent256_0042,0.2513,5.823,4.223,8.447,0.8983,145.7,
bentheimer,256,bent256_0043,0.2466,5.816,4.189,8.377,0.8908,139.6,
bentheimer,256,bent256_0044,0.223,5.191,4.111,8.222,0.8792,133.4,
bentheimer,256,bent256_0045,0.2233,6.48,3.62,7.24,0.9221,149.3,
bentheimer,256,bent256_0046,0.227,6.778,4.107,8.215,0.8803,161.2,
bentheimer,256,bent256_0047,0.2619,5.994,4.128,8.255,0.9143,172.9,
bentheimer,256,bent256_0048,0.2331,6.395,4.096,8.192,0.8968,169.5,
bentheimer,256,bent256_0049,0.2267,5.907,4.083,8.167,0.8772,140.6,
bentheimer,256,bent256_0050,0.2653,6.164,4.146,8.293,0.9195,168.4,
bentheimer,256,bent256_0051,0.2477,6.695,4.067,8.134,0.8698,145.9,
bentheimer,256,bent256_0052,0.2723,5.087,4.228,8.455,0.9135,155.2,
bentheimer,256,bent256_0053,0.2419,6.994,4.15,8.299,0.8944,139.9,
bentheimer,256,bent256_0054,0.2536,5.83,4.154,8.308,0.9046,136.0,
bentheimer,256,bent256_0055,0.2582,6.076,4.257,8.514,0.851,148.6,
bentheimer,256,bent256_0056,0.2483,5.185,4.241,8.482,0.9065,162.2,
bentheimer,256,bent256_0057,0.2282,5.828,4.06,8.12,0.8726,144.2,
bentheimer,256,bent256_0058,0.2584,5.384,4.806,9.613,0.8524,138.3,
bentheimer,256,bent256_0059,0.2374,5.91,4.111,8.222,0.8818,180.5,
